🕘️更新时间,#genre#
2026-08-09 18:51:27,http://116.113.36.219:9901/tsfile/live/1024_1.m3u8

📺央视频道,#genre#
CCTV-1,http://116.113.36.219:9901/tsfile/live/1024_1.m3u8
CCTV-1,http://221.225.162.96:9004/hls/1/index.m3u8
CCTV-1,http://112.30.73.119:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://222.240.44.42:12810/newlive/live/hls/1/live.m3u8
CCTV-1,http://219.147.245.238:25480/newlive/live/hls/1/live.m3u8
CCTV-1,http://116.113.72.150:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://139.227.21.22:9901/tsfile/live/0001_1.m3u8
CCTV-1,http://182.123.208.111:9901/tsfile/live/0001_1.m3u8
CCTV-2,http://218.13.148.152:5140/IPTV-%E5%A4%AE%E8%A7%86/CCTV-2
CCTV-2,http://182.123.208.111:9901/tsfile/live/0002_1.m3u8
CCTV-2,http://112.30.73.119:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://116.113.72.150:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://221.225.162.96:9004/hls/2/index.m3u8
CCTV-2,http://120.7.86.96:808/hls/2/index.m3u8
CCTV-3,http://113.90.154.189:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://221.225.162.96:9004/hls/3/index.m3u8
CCTV-3,http://219.147.245.238:25480/newlive/live/hls/3/live.m3u8
CCTV-3,http://120.7.86.96:808/hls/3/index.m3u8
CCTV-3,http://116.113.72.150:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://173.208.212.130:8181/1080p/cctv4.m3u8
CCTV-4,http://182.123.208.111:9901/tsfile/live/0004_1.m3u8
CCTV-4,http://221.225.162.96:9004/hls/4/index.m3u8
CCTV-4,http://116.113.72.150:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://219.147.245.238:25480/newlive/live/hls/4/live.m3u8
CCTV-4,http://58.19.43.66:1111/tsfile/live/1003_1.m3u8
CCTV-5,http://112.30.73.119:229/tsfile/live/0005_1.m3u8
CCTV-5,http://221.225.162.96:9004/hls/5/index.m3u8
CCTV-5,http://120.7.86.96:808/hls/5/index.m3u8
CCTV-5,http://116.113.72.150:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://182.123.208.111:9901/tsfile/live/0005_1.m3u8
CCTV-5,http://58.19.43.66:1111/tsfile/live/1004_1.m3u8
CCTV-5+,https://myip.pdtvhd.com/Sports/streams/CCTV5pul.m3u8
CCTV-5+,http://120.40.39.246:352/newlive/live/hls/6/live.m3u8
CCTV-5+,http://219.147.245.238:25480/newlive/live/hls/6/live.m3u8
CCTV-5+,http://113.57.140.161:10081/newlive/live/hls/6/live.m3u8
CCTV-5+,http://113.101.119.74:8090/hls/10/index.m3u8
CCTV-6,http://116.113.72.150:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://221.225.162.96:9004/hls/6/index.m3u8
CCTV-6,http://120.7.86.96:808/hls/6/index.m3u8
CCTV-6,http://113.101.119.74:8090/hls/118/index.m3u8
CCTV-6,http://219.147.245.238:25480/newlive/live/hls/7/live.m3u8
CCTV-6,http://www.negative.top:50000/rtp/233.50.200.109:5140
CCTV-7,http://221.225.162.96:9004/hls/7/index.m3u8
CCTV-7,http://120.7.86.96:808/hls/7/index.m3u8
CCTV-7,http://219.147.245.238:25480/newlive/live/hls/8/live.m3u8
CCTV-7,http://113.101.119.74:8090/hls/119/index.m3u8
CCTV-7,http://182.123.208.111:9901/tsfile/live/0007_1.m3u8
CCTV-8,http://221.225.162.96:9004/hls/8/index.m3u8
CCTV-8,http://219.147.245.238:25480/newlive/live/hls/9/live.m3u8
CCTV-9,http://198.204.228.26/live/cctv9hd.m3u8
CCTV-9,http://182.123.208.111:9901/tsfile/live/0009_1.m3u8
CCTV-9,http://221.225.162.96:9004/hls/9/index.m3u8
CCTV-9,http://219.147.245.238:25480/newlive/live/hls/10/live.m3u8
CCTV-9,http://120.7.86.96:808/hls/9/index.m3u8
CCTV-10,http://198.204.228.26/live/cctv10hd.m3u8
CCTV-10,http://221.225.162.96:9004/hls/10/index.m3u8
CCTV-10,http://120.7.86.96:808/hls/10/index.m3u8
CCTV-10,http://219.147.245.238:25480/newlive/live/hls/11/live.m3u8
CCTV-10,http://182.123.208.111:9901/tsfile/live/0010_1.m3u8
CCTV-11,http://182.123.208.111:9901/tsfile/live/0011_1.m3u8
CCTV-11,http://221.225.162.96:9004/hls/11/index.m3u8
CCTV-11,http://120.7.86.96:808/hls/11/index.m3u8
CCTV-11,http://113.101.119.74:8090/hls/123/index.m3u8
CCTV-11,http://219.147.245.238:25480/newlive/live/hls/12/live.m3u8
CCTV-12,http://221.225.162.96:9004/hls/12/index.m3u8
CCTV-12,http://120.7.86.96:808/hls/12/index.m3u8
CCTV-12,http://219.147.245.238:25480/newlive/live/hls/13/live.m3u8
CCTV-13,http://221.225.162.96:9004/hls/13/index.m3u8
CCTV-13,http://120.7.86.96:808/hls/13/index.m3u8
CCTV-13,http://219.147.245.238:25480/newlive/live/hls/14/live.m3u8
CCTV-13,http://58.19.43.66:1111/tsfile/live/1012_1.m3u8
CCTV-13,http://182.123.208.111:9901/tsfile/live/0013_1.m3u8
CCTV-14,http://221.225.162.96:9004/hls/14/index.m3u8
CCTV-14,http://120.7.86.96:808/hls/14/index.m3u8
CCTV-14,http://219.147.245.238:25480/newlive/live/hls/15/live.m3u8
CCTV-14,http://182.123.208.111:9901/tsfile/live/0014_1.m3u8
CCTV-15,http://221.225.162.96:9004/hls/15/index.m3u8
CCTV-15,http://219.147.245.238:25480/newlive/live/hls/16/live.m3u8
CCTV-15,http://120.7.86.96:808/hls/15/index.m3u8
CCTV-15,http://182.123.208.111:9901/tsfile/live/0015_1.m3u8
CCTV-16,https://shcm-stream-cf1.stream.264788.xyz/cms001/ch00000090990000001258/index.m3u8
CCTV-16,http://221.225.162.96:9004/hls/16/index.m3u8
CCTV-16,http://219.147.245.238:25480/newlive/live/hls/17/live.m3u8
CCTV-16,http://113.57.140.161:10081/newlive/live/hls/17/live.m3u8
CCTV-17,https://live.264788.xyz/channel/cctv17
CCTV-17,http://221.7.175.154:8445/tsfile/live/1009_1.m3u8
CCTV-17,http://113.90.154.189:9901/tsfile/live/0017_1.m3u8
CCTV-17,http://221.225.162.96:9004/hls/17/index.m3u8
CETV-1,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cetv1hd

📡卫视频道,#genre#
广东卫视,http://182.123.208.111:9901/tsfile/live/0125_1.m3u8
广东卫视,http://113.101.119.74:8090/hls/152/index.m3u8
广东卫视,http://221.225.162.96:9004/hls/24/index.m3u8
广东卫视,http://113.57.140.161:10081/newlive/live/hls/34/live.m3u8
浙江卫视,http://198.204.228.26/live/zjwshd.m3u8
浙江卫视,http://221.225.162.96:9004/hls/29/index.m3u8
湖南卫视,http://satellitepull.cnr.cn/live/wx32hunws/playlist.m3u8
湖南卫视,http://221.225.162.96:9004/hls/23/index.m3u8
湖南卫视,http://113.57.140.161:10081/newlive/live/hls/30/live.m3u8
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8
北京卫视,http://182.123.208.111:9901/tsfile/live/0122_1.m3u8
北京卫视,http://221.225.162.96:9004/hls/22/index.m3u8
北京卫视,http://120.7.86.96:808/hls/24/index.m3u8
北京卫视,http://119.166.53.110:9901/tsfile/live/0002_22.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://139.227.21.22:9901/tsfile/live/0122_1.m3u8
湖北卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=hbwshd
湖北卫视,http://192.151.150.154/live/hbwshd.m3u8
湖北卫视,http://182.123.208.111:9901/tsfile/live/0132_1.m3u8
湖北卫视,http://120.40.39.246:352/newlive/live/hls/36/live.m3u8
湖北卫视,http://221.225.162.96:9004/hls/20/index.m3u8
湖北卫视,http://113.57.140.161:10081/newlive/live/hls/36/live.m3u8
湖北卫视,http://120.7.86.96:808/hls/29/index.m3u8
黑龙江卫视,http://221.225.162.96:9004/hls/25/index.m3u8
黑龙江卫视,http://182.123.208.111:9901/tsfile/live/0143_1.m3u8
黑龙江卫视,http://120.40.39.246:352/newlive/live/hls/38/live.m3u8
黑龙江卫视,http://120.7.86.96:808/hls/26/index.m3u8
安徽卫视,http://182.123.208.111:9901/tsfile/live/0130_1.m3u8
安徽卫视,http://221.225.162.96:9004/hls/35/index.m3u8
安徽卫视,http://219.147.245.238:25480/newlive/live/hls/40/live.m3u8
安徽卫视,http://120.7.86.96:808/hls/28/index.m3u8
重庆卫视,http://221.7.175.154:8445/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://221.225.162.96:9004/hls/34/index.m3u8
重庆卫视,http://120.7.86.96:808/hls/31/index.m3u8
重庆卫视,http://101.66.195.138:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://182.123.208.111:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://221.225.162.96:9004/hls/28/index.m3u8
东方卫视,http://113.57.140.161:10081/newlive/live/hls/29/live.m3u8
